term,annotation,df
postural hypotension,Disease,bc5cdr
parkinson ' s disease,Disease,bc5cdr
pd,Disease,bc5cdr
systolic orthostatic hypotension,Disease,bc5cdr
orthostatic hypotension,Disease,bc5cdr
reduced the supine systolic and diastolic blood pressures,Disease,bc5cdr
cystitis,Disease,bc5cdr
thrombosis,Disease,bc5cdr
platelet aggregation,Disease,bc5cdr
blood coagulation,Disease,bc5cdr
platelet aggregations,Disease,bc5cdr
angioedema,Disease,bc5cdr
mood disorder,Disease,bc5cdr
psychiatric,Disease,bc5cdr
mood disorders,Disease,bc5cdr
cimd,Disease,bc5cdr
depressive disorders,Disease,bc5cdr
intracerebral hemorrhage,Disease,bc5cdr
brain damage,Disease,bc5cdr
ischemic stroke,Disease,bc5cdr
inflammation,Disease,bc5cdr
hematoma,Disease,bc5cdr
impaired blood clotting,Disease,bc5cdr
hemodilution,Disease,bc5cdr
hematomas,Disease,bc5cdr
hemorrhage,Disease,bc5cdr
white matter edema,Disease,bc5cdr
neuronal loss,Disease,bc5cdr
respiratory arrest,Disease,bc5cdr
desaturation,Disease,bc5cdr
bradycardia,Disease,bc5cdr
neuromuscular blockade,Disease,bc5cdr
hypotensive,Disease,bc5cdr
tachycardia,Disease,bc5cdr
myocardial ischemia,Disease,bc5cdr
nonsmall cell lung carcinoma,Disease,bc5cdr
nsclc,Disease,bc5cdr
toxicity,Disease,bc5cdr
neutropenia,Disease,bc5cdr
thrombocytopenia,Disease,bc5cdr
neurotoxicity,Disease,bc5cdr
sepsis,Disease,bc5cdr
myelosuppression,Disease,bc5cdr
hyperactivity,Disease,bc5cdr
catalepsy,Disease,bc5cdr
artery calcification,Disease,bc5cdr
calcification,Disease,bc5cdr
calcification of the artery,Disease,bc5cdr
hypothermia,Disease,bc5cdr
hemolysis,Disease,bc5cdr
breast cancer,Disease,bc5cdr
hemolytic anemia,Disease,bc5cdr
hemolytic,Disease,bc5cdr
hypertension,Disease,bc5cdr
depressed,Disease,bc5cdr
cardiac hypertrophy,Disease,bc5cdr
hypotension,Disease,bc5cdr
venous thromboembolism,Disease,bc5cdr
vte,Disease,bc5cdr
hyperalgesia,Disease,bc5cdr
pain,Disease,bc5cdr
aggressive behavior,Disease,bc5cdr
aggressiveness,Disease,bc5cdr
intracranial aneurysms,Disease,bc5cdr
cocaine abuse,Disease,bc5cdr
subarachnoid hemorrhage,Disease,bc5cdr
aneurysms,Disease,bc5cdr
ruptured aneurysms,Disease,bc5cdr
aneurysm,Disease,bc5cdr
aneurysmal rupture,Disease,bc5cdr
acute stroke,Disease,bc5cdr
stroke,Disease,bc5cdr
reduction in blood pressure,Disease,bc5cdr
bp reduction,Disease,bc5cdr
reduction in systolic bp,Disease,bc5cdr
dbp reduction,Disease,bc5cdr
death,Disease,bc5cdr
