term,annotation,df
human scl locus,DNA,jnlpba
fusion complementary dna,DNA,jnlpba
t cell line hsb-2,cell_line,jnlpba
hematopoietic transcription factor,protein,jnlpba
scl,protein,jnlpba
fusion cdna,DNA,jnlpba
unknown locus,DNA,jnlpba
sil,DNA,jnlpba
scl interrupting locus,DNA,jnlpba
5 ' untranslated region,DNA,jnlpba
scl 5 ' regulatory region,DNA,jnlpba
immunoglobulin,protein,jnlpba
t cell receptor,protein,jnlpba
t cell lines,cell_line,jnlpba
cem,cell_line,jnlpba
rpmi 8402,cell_line,jnlpba
lymphocytes,cell_type,jnlpba
growth-affecting genes,DNA,jnlpba
immune receptors,protein,jnlpba
thyroid hormone receptors,protein,jnlpba
nuclear protein-dependent and independent complexes,protein,jnlpba
thyroid hormone response element,DNA,jnlpba
nuclear proteins,protein,jnlpba
recombinant thyroid hormone receptors,protein,jnlpba
trs,protein,jnlpba
palindromic thyroid hormone responsive element,DNA,jnlpba
trep,DNA,jnlpba
protein-dna complexes,protein,jnlpba
t3-responsive pituitary ( gh3 ) cells,cell_line,jnlpba
trep-containing dna fragment,DNA,jnlpba
reticulocyte lysate-synthesized trs,protein,jnlpba
tr alpha 1,protein,jnlpba
tr beta 2,protein,jnlpba
tr : trep complex,protein,jnlpba
tr beta 1,protein,jnlpba
oligomer,protein,jnlpba
35s-tr alpha 1,protein,jnlpba
35s-tr : trep complex,protein,jnlpba
cos-7 cells,cell_line,jnlpba
greatly shifted complex,protein,jnlpba
tr : tre complex,protein,jnlpba
t3-unresponsive jeg-3 cells,cell_line,jnlpba
tr,protein,jnlpba
amino acid 210,protein,jnlpba
carboxyl-terminus,protein,jnlpba
nf-kappa b regulatory elements,DNA,jnlpba
human immunodeficiency virus and beta interferon promoters,DNA,jnlpba
tumor necrosis factor,protein,jnlpba
tumor necrosis factor alpha ( tnf-alpha ) mrna,RNA,jnlpba
monocytic u937 cells,cell_line,jnlpba
chronically hiv infected u937 cell line,cell_line,jnlpba
u9-iiib,cell_line,jnlpba
tnf-alpha rna,RNA,jnlpba
u937 cells,cell_line,jnlpba
u9-iiib cells,cell_line,jnlpba
hiv-infected monocytic cells,cell_line,jnlpba
tnf-alpha,protein,jnlpba
reporter chloramphenicol acetyltransferase plasmids,DNA,jnlpba
regulatory elements,DNA,jnlpba
hiv long terminal repeat,DNA,jnlpba
ltr,DNA,jnlpba
beta interferon promoter,DNA,jnlpba
u937 and jurkat t lymphoid cells,cell_line,jnlpba
hybrid promoters,DNA,jnlpba
nf-kappa b-containing plasmids,DNA,jnlpba
nf-kappa b,protein,jnlpba
prdii nf-kappa b-binding domain,DNA,jnlpba
hiv ltr,DNA,jnlpba
t cells,cell_type,jnlpba
monocytic cells,cell_type,jnlpba
viral rna,RNA,jnlpba
jurkat cells,cell_line,jnlpba
cis-linked regulatory sequences,DNA,jnlpba
hla dra promoter,DNA,jnlpba
x and y boxes,DNA,jnlpba
b cells,cell_type,jnlpba
major histocompatibility complex ( mhc ) class ii promoters,DNA,jnlpba
class ii promoters,DNA,jnlpba
hla-dr alpha ( dra ) promoter,DNA,jnlpba
`` octamer '' motif,DNA,jnlpba
immunoglobulin variable region promoters,DNA,jnlpba
octamer,DNA,jnlpba
dra,protein,jnlpba
ubiquitous,protein,jnlpba
otf-1,protein,jnlpba
lymphoid-specific ( otf-2 ) `` octamer '' binding proteins,protein,jnlpba
`` octamer '' complex,protein,jnlpba
cis-acting elements,DNA,jnlpba
dra promoter construct,DNA,jnlpba
class ii-negative hela cells,cell_line,jnlpba
y box,DNA,jnlpba
