term,annotation,df
aperture z-scan experiments,Process,scienceie
1560nm femtosecond laser pulses,Material,scienceie
optical-chopper,Material,scienceie
vibrational combination states,Process,scienceie
non-radiative processes,Process,scienceie
transient thermal effects,Process,scienceie
measure this cumulative thermal effect,Task,scienceie
mode-mismatched two-color pump–probe experiment,Process,scienceie
femtosecond laser pulses at 1560nm,Material,scienceie
pure optical nonlinearity,Process,scienceie
cumulative thermal effect,Process,scienceie
water,Material,scienceie
saturation absorption,Task,scienceie
primary alcohols,Material,scienceie
alcohols,Material,scienceie
molecules,Material,scienceie
absorption,Process,scienceie
high repetition-rate lasers,Material,scienceie
statistical mechanics,Process,scienceie
nonlinear pdes theory,Process,scienceie
phase transitions,Task,scienceie
first order phase transition,Process,scienceie
van der waals model,Process,scienceie
field partition function,Process,scienceie
partition function,Process,scienceie
klein–gordon equation,Task,scienceie
van der waals isotherms,Process,scienceie
maxwell equal areas rule,Process,scienceie
thermodynamic limit n→∞,Process,scienceie
macroscopic thermodynamic systems,Process,scienceie
class virial expansions,Process,scienceie
general equations of state of the form,Process,scienceie
partition functions of the form,Process,scienceie
spin,Process,scienceie
bounding pcm wastes,Material,scienceie
“mock up” pcm drums,Material,scienceie
pcm drums,Material,scienceie
mild steel paint cans and lids,Material,scienceie
pvc bags,Material,scienceie
identical pvc sheeting,Material,scienceie
metallic waste,Material,scienceie
commercial grade 18/8 stainless steel,Material,scienceie
aluminium,Material,scienceie
copper,Material,scienceie
lead shot,Material,scienceie
inorganic waste,Material,scienceie
waste pyrex labware,Material,scienceie
masonry,Material,scienceie
concrete,Material,scienceie
window glass,Material,scienceie
ceo2,Material,scienceie
puo2 surrogate,Material,scienceie
blast-furnace slag “calumite”,Material,scienceie
calumite,Material,scienceie
powdered material,Material,scienceie
particle,Material,scienceie
investigate the influence of the particle shape on interacting particles flowing in a horizontal turbulent channel flow,Task,scienceie
large eddy simulations,Process,scienceie
les,Process,scienceie
"drag, lift and toque model",Process,scienceie
horizontal turbulent channel flow,Process,scienceie
horizontal channel flow,Process,scienceie
spherical particles,Material,scienceie
phase doppler anemometry,Process,scienceie
pda,Process,scienceie
fluid,Material,scienceie
numerical framework,Process,scienceie
comprehensive discrete element model,Process,scienceie
dem,Process,scienceie
hard-sphere model,Process,scienceie
determining the behaviour of the particles in this horizontal gas–solid channel flow,Task,scienceie
les framework,Process,scienceie
non-spherical particles,Material,scienceie
particles,Material,scienceie
gas–solid channel flow,Process,scienceie
gas,Material,scienceie
npd technique,Process,scienceie
mof complex,Material,scienceie
d2,Material,scienceie
mofs,Material,scienceie
adsorbed gas molecules,Material,scienceie
h2 binding interactions,Process,scienceie
binding interaction,Process,scienceie
characterisation techniques,Process,scienceie
in situ inelastic neutron scattering,Process,scienceie
ins,Process,scienceie
permit direct observation of the dynamics of the binding interactions,Task,scienceie
adsorbed h2 molecules,Material,scienceie
aluminium-based porous mof,Material,scienceie
nott-300,Material,scienceie
h2,Material,scienceie
neutron spectroscopy,Task,scienceie
organic ligand,Material,scienceie
[al(oh)2o4] moieties,Material,scienceie
through-spacing interaction,Process,scienceie
al-o⋯h2,Process,scienceie
h2 adsorption,Process,scienceie
adsorbed h2,Material,scienceie
mof,Material,scienceie
weak binding interactions,Process,scienceie
weak interaction,Process,scienceie
static crystallographic studies,Task,scienceie
liquid,Material,scienceie
grain,Material,scienceie
elucidating grain boundary stability,Task,scienceie
predict the relative stability of the defect energies,Task,scienceie
morelon potential model,Process,scienceie
replicate defect formation energies,Task,scienceie
morl and the arima potential models,Process,scienceie
rigid ion models,Process,scienceie
shell models,Process,scienceie
catlow potential model,Process,scienceie
"morl, along with the grimes shell potential model",Process,scienceie
oxygen,Material,scienceie
reproduce the activation energy of oxygen migration,Task,scienceie
uo2,Material,scienceie
morl potential,Process,scienceie
cation,Material,scienceie
grain growth,Process,scienceie
migration path,Process,scienceie
diffusion mechanism,Process,scienceie
variational framework,Process,scienceie
the dynamics of various physical phenomena,Task,scienceie
variational principles,Process,scienceie
approach,Process,scienceie
single functional,Process,scienceie
action integral,Process,scienceie
lagrangian,Process,scienceie
hamiltonian mechanics,Process,scienceie
reformulation of lagrangian mechanics,Process,scienceie
pendulums,Material,scienceie
planets,Material,scienceie
water waves,Material,scienceie
physical phenomena,Process,scienceie
"movement of pendulums, planets, or water waves",Process,scienceie
framework,Material,scienceie
study the symmetry properties of a system,Task,scienceie
hamiltonian systems,Process,scienceie
system,Process,scienceie
numerical approximation,Task,scienceie
dynamics of a system,Process,scienceie
express all the dynamics of a system,Task,scienceie
"gas sorption, storage and separation",Process,scienceie
carbon materials,Material,scienceie
physisorption,Process,scienceie
"electrostatic and dispersion (i.e., vdw) interactions",Process,scienceie
adsorbate molecule,Material,scienceie
gas or vapour adsorbates,Material,scienceie
n2,Material,scienceie
co,Material,scienceie
co2,Material,scienceie
ch4,Material,scienceie
nh3,Material,scienceie
so2,Material,scienceie
h2s,Material,scienceie
adsorbent,Material,scienceie
molecule,Material,scienceie
adsorbents,Material,scienceie
adsorbate molecules,Material,scienceie
high quadrupole moment adsorbate molecules,Material,scienceie
h2o,Material,scienceie
enhance gas adsorption,Task,scienceie
surface modifications,Process,scienceie
doping,Process,scienceie
functionalization,Process,scienceie
improving the pore structure and specific surface area of nanocarbons,Process,scienceie
nanocarbons,Material,scienceie
graphene,Material,scienceie
carbonaceous adsorbents,Material,scienceie
introducing charge variations in the material,Process,scienceie
chemical substitution,Process,scienceie
wind speed and cloud height markov chains,Process,scienceie
markov chain,Process,scienceie
okta number markov chains,Process,scienceie
okta markov chains,Process,scienceie
capture the variation in transition probability,Task,scienceie
okta markov chain,Process,scienceie
generalized polynomial chaos expansions,Process,scienceie
model densities,Task,scienceie
uncertainty problem,Task,scienceie
generalised polynomial chaos expansion,Process,scienceie
rosenblatt transformation,Process,scienceie
askey-wilson scheme,Process,scienceie
discretized stieltjes procedure,Process,scienceie
computational framework,Material,scienceie
magnox reactors,Material,scienceie
gas-cooled reactors,Material,scienceie
carbon dioxide,Material,scienceie
coolant,Material,scienceie
honeycomb network of graphite bricks,Material,scienceie
neutron moderation,Process,scienceie
neutron,Material,scienceie
carbon monoxide,Material,scienceie
co2 coolant,Material,scienceie
radiolytically polymerised,Process,scienceie
form a carbonaceous deposit on free surfaces,Task,scienceie
non-graphitic carbon deposit,Material,scienceie
air,Material,scienceie
graphite,Material,scienceie
methane gas,Material,scienceie
coolant gas,Material,scienceie
graphite core,Material,scienceie
radiolytic oxidation,Process,scienceie
methane,Material,scienceie
nitrogen,Material,scienceie
inhibit weight loss of the graphite core due to radiolytic oxidation,Task,scienceie
carbonaceous deposits,Material,scienceie
reduction in mechanical strength,Process,scienceie
nitrogen incorporation during deposit formation,Process,scienceie
excessive weight loss,Process,scienceie
reactor,Material,scienceie
clsvof method,Process,scienceie
thin liquid ligaments,Material,scienceie
vof method,Process,scienceie
simulations of liquid jet primary breakup,Task,scienceie
ls,Process,scienceie
finite difference scheme,Process,scienceie
finite difference schemes,Process,scienceie
"central, forward, or backward differencing",Process,scienceie
high order discretisation scheme,Process,scienceie
5th order weno,Process,scienceie
ls methods,Process,scienceie
reduce mass error,Task,scienceie
low order ls discretisation schemes,Process,scienceie
pipes,Material,scienceie
rcs,Material,scienceie
austenitic or austenitic & ferritic stainless steel,Material,scienceie
pipe,Material,scienceie
event screening,Task,scienceie
alloys,Material,scienceie
represent scale interactions,Task,scienceie
r-adaptivity,Process,scienceie
atmospheric modelling,Process,scienceie
deforming a mesh,Process,scienceie
adaptivity,Process,scienceie
monge–ampère equation,Process,scienceie
r-adaptive mesh generation,Process,scienceie
weather and climate prediction models,Process,scienceie
mesh redistribution,Process,scienceie
altering the mesh connectivity,Process,scienceie
meshes,Material,scienceie
variational methods,Process,scienceie
r-adaptive meshes,Process,scienceie
scalar valued monitor function,Process,scienceie
mesh,Material,scienceie
optimally transported (ot) mesh,Material,scienceie
control resolution in different directions for r-adaptive meshes,Task,scienceie
monitor function,Process,scienceie
adaptive meshes,Material,scienceie
mesh tangling,Process,scienceie
monge–ampère,Process,scienceie
sphere,Material,scienceie
weather and climate prediction,Task,scienceie
mapping of solutions between meshes,Process,scienceie
optimal transport problem on the sphere,Task,scienceie
forcing,Process,scienceie
wind stress at the free surface,Process,scienceie
astronomical tidal potential,Process,scienceie
damping,Process,scienceie
turbulent stress of a bottom boundary layer,Process,scienceie
forced response,Process,scienceie
shallow-water waves,Material,scienceie
kelvin waves,Material,scienceie
natural frequency,Process,scienceie
ωf,Process,scienceie
forcing frequency,Process,scienceie
ω,Process,scienceie
numerical solutions,Task,scienceie
near-resonantly forced waves,Material,scienceie
problems with forcing and damping,Task,scienceie
free kelvin wave problem,Task,scienceie
wind,Material,scienceie
waves,Material,scienceie
weak damping,Process,scienceie
|ω−ωf|,Process,scienceie
spatial discretisation,Process,scienceie
kelvin wave,Material,scienceie
complex langevin,Process,scienceie
cl,Process,scienceie
nonzero chemical potential,Process,scienceie
complexified configuration space,Process,scienceie
langevin process,Process,scienceie
lower and four-dimensional field theories,Process,scienceie
probability distribution,Process,scienceie
nonabelian gauge theories,Task,scienceie
sign problem in the thermodynamic limit,Task,scienceie
"sl(n,c) gauge cooling",Material,scienceie
sign problem,Task,scienceie
numerical simulations of lattice field theories,Process,scienceie
distribution,Process,scienceie
"improved understanding, relying on the combination of analytical and numerical insight",Task,scienceie
fragmentation processes,Process,scienceie
polyatomic molecules,Material,scienceie
intense ultrafast laser field,Material,scienceie
laser field,Material,scienceie
chirped laser pulses,Material,scienceie
laser induced molecular fragmentation,Process,scienceie
chirped femtosecond laser pulses,Material,scienceie
fragment channel enhancement,Task,scienceie
observation of a coherently enhanced fragmentation pathway,Task,scienceie
n-propyl benzene,Material,scienceie
fragmentation channel,Material,scienceie
c3h3+,Material,scienceie
laser pulse,Material,scienceie
molecular system,Process,scienceie
channels,Material,scienceie
negatively chirped pulses,Material,scienceie
positive chirp,Material,scienceie
heavier fragment ions,Material,scienceie
chirp,Material,scienceie
fragmentation,Task,scienceie
framework,Process,scienceie
new framework of a numerical modelling,Task,scienceie
chemical reaction in water,Process,scienceie
two-compartment model,Process,scienceie
fundamental concept,Process,scienceie
modelling physicochemical processes,Task,scienceie
effects of the schmidt number,Process,scienceie
chemical reaction rate,Process,scienceie
gas exchange,Process,scienceie
gas exchange mechanisms across the interface,Process,scienceie
gas exchange processes,Process,scienceie
gas–liquid equilibrium,Process,scienceie
chemical reaction in the water phase,Process,scienceie
gaseous material,Material,scienceie
water phase,Material,scienceie
irreversible chemical reaction,Process,scienceie
chemical reactions,Process,scienceie
turbulent transport phenomena in water,Process,scienceie
computational fluid dynamics,Process,scienceie
cfd,Process,scienceie
direct numerical simulation,Process,scienceie
dns,Process,scienceie
evaluate profiles of fluid velocities and concentrations in water,Task,scienceie
fluid flow in the water phase,Process,scienceie
fluid velocities,Process,scienceie
concentrations in water,Process,scienceie
molecular diffusion,Process,scienceie
gas exchange rate at the interface,Process,scienceie
effect of the chemical reaction rate on the gas exchange mechanisms,Task,scienceie
nondimensional chemical reaction rate,Process,scienceie
evaluate temporal development of three-dimensional profiles of the velocity and concentration fields,Task,scienceie
subgrid-scale models,Process,scienceie
observe the effects of the molecular diffusion,Task,scienceie
gas exchange mechanisms,Process,scienceie
chemical reaction,Process,scienceie
transport phenomena,Process,scienceie
sc∼o(102),Material,scienceie
gases,Material,scienceie
predict the gas exchange processes,Task,scienceie
numerical experiments,Task,scienceie
gas exchange rates,Process,scienceie
half metallic ferromagnets,Material,scienceie
hmf,Material,scienceie
spintronic devices,Task,scienceie
dilute magnetic semiconductors,Material,scienceie
dmss,Material,scienceie
materials to show half metallicity,Material,scienceie
semiconducting material,Material,scienceie
magnetic dopant,Material,scienceie
transition metal,Material,scienceie
utilization of electron's spin as information carrier,Process,scienceie
large band gap materials,Material,scienceie
ii–vi and iii–v semiconductors,Material,scienceie
zns,Material,scienceie
cds,Material,scienceie
gan,Material,scienceie
zno,Material,scienceie
znse,Material,scienceie
znte,Material,scienceie
tio2,Material,scienceie
sno2,Material,scienceie
host material,Material,scienceie
enhance the curie temperature above room temperature,Task,scienceie
un-paired d electrons,Material,scienceie
electrons,Material,scienceie
nuclear reactor analysis,Task,scienceie
prediction of the three-dimensional space-time kinetics of neutrons,Task,scienceie
reactor core,Material,scienceie
neutrons,Material,scienceie
nuclear reactor,Material,scienceie
safety analyses,Task,scienceie
prediction of reactor physics responses,Task,scienceie
neutron diffusion theory applied to three-dimensional systems,Process,scienceie
deterministic neutron transport solutions,Process,scienceie
reactor physics calculations,Task,scienceie
uncertainty analysis in modelling,Material,scienceie
uam,Material,scienceie
strategy for computing lattice sensitivities,Task,scienceie
wims-d4 multi-group library,Material,scienceie
dragon lattice code,Material,scienceie
tsunami,Process,scienceie
two-dimensional lattice geometries,Process,scienceie
solar cell,Material,scienceie
cpv,Process,scienceie
high concentrator pv,Process,scienceie
hcpv,Process,scienceie
maximum power point,Process,scienceie
mpp,Process,scienceie
open-circuit conditions,Process,scienceie
cell,Material,scienceie
solar cells,Material,scienceie
electrical energy generation,Process,scienceie
predicting the cell temperature at mpp,Task,scienceie
artificial neural network model,Process,scienceie
estimate the cell temperature,Task,scienceie
open-circuit voltage model,Process,scienceie
cell temperature calculation,Task,scienceie
calculation of the cell temperature,Task,scienceie
prediction of solar cell’s temperature,Task,scienceie
calculate the cell temperature,Task,scienceie
synthetic mechanisms,Process,scienceie
separation techniques,Process,scienceie
chiral molecules,Material,scienceie
echniques to secure enantiopure products,Task,scienceie
stereoisomer,Material,scienceie
enantiomers,Material,scienceie
enantiopure reagents or substrates,Material,scienceie
chiral building blocks,Material,scienceie
enantioselective catalysts,Material,scienceie
synthesis routes,Process,scienceie
enantiomer separation techniques,Process,scienceie
chiral selector molecules,Material,scienceie
diastereomeric complexes,Material,scienceie
enantiopure products,Material,scienceie
enantiomeric excess,Process,scienceie
degree of chirality,Process,scienceie
chiral discrimination,Process,scienceie
optical means,Material,scienceie
enantiomer separation,Task,scienceie
twisting of polarisation in optical rotation,Process,scienceie
"achieve enantiopure products, irrespective of the synthetic method",Task,scienceie
synthetic method,Process,scienceie
"means to measure, and duly quantitate the enantiomeric excess",Task,scienceie
optical methods,Process,scienceie
"methods, mostly multi-step and time-consuming",Process,scienceie
molecular products,Material,scienceie
benchmarks,Task,scienceie
quantum dynamical method,Process,scienceie
tunnelling dynamics,Process,scienceie
a model hamiltonian,Process,scienceie
mp/soft,Process,scienceie
configuration interaction (ci) expansion method,Process,scienceie
two-layer version of ccs,Process,scienceie
2l-ccs,Process,scienceie
the hamiltonian,Process,scienceie
superconducting quantum interface device,Process,scienceie
squid,Process,scienceie
1-dimensional tunnelling mode,Process,scienceie
(m−1)-dimensional harmonic bath,Process,scienceie
system-bath problem,Task,scienceie
caldeira-leggett model of tunnelling,Process,scienceie
hamiltonian,Process,scienceie
system-bath models,Process,scienceie
superconductivity at a josephson junction,Process,scienceie
caldeira-leggett model,Process,scienceie
multidimensional asymmetric double well potential,Process,scienceie
ccs methods,Process,scienceie
configuration interaction,Process,scienceie
ci,Process,scienceie
harmonic modes,Process,scienceie
physics,Task,scienceie
magnetic and conductance phenomena,Process,scienceie
spin-bath regime,Task,scienceie
fine oxides,Material,scienceie
ods steels,Material,scienceie
crystal,Material,scienceie
oxide particles,Material,scienceie
complete characterisation of the oxide particles,Task,scienceie
y2o3,Material,scienceie
y2ti2o7 oxides,Material,scienceie
oxide,Material,scienceie
ti,Material,scienceie
18%cr ods alloy,Material,scienceie
coarsening rates,Process,scienceie
dispersoids,Material,scienceie
alloy,Material,scienceie
titanium,Material,scienceie
matrix,Material,scienceie
y,Material,scienceie
o,Material,scienceie
pyrochlore,Material,scienceie
irradiation,Process,scienceie
thermo-oxidation,Process,scienceie
iter,Material,scienceie
vessel,Material,scienceie
helium,Material,scienceie
cooling system,Material,scienceie
reconditioning,Task,scienceie
plasma operation,Task,scienceie
cooling tubes,Material,scienceie
treatment of iter carbon co-deposits,Task,scienceie
divertor,Material,scienceie
main wall,Material,scienceie
remote parts,Material,scienceie
tritium,Material,scienceie
carbon layers,Material,scienceie
nuclear fusion devices,Material,scienceie
diii-d,Material,scienceie
tcv,Material,scienceie
jt-60sa,Material,scienceie
kstar,Material,scienceie
wenderstein-7x,Material,scienceie
carbon elements,Material,scienceie
removal of carbon co-deposits,Task,scienceie
plasma density control,Task,scienceie
dust,Material,scienceie
tungsten tiles,Material,scienceie
iter carbon,Material,scienceie
carbon,Material,scienceie
statistical associating fluid theory,Process,scienceie
saft,Process,scienceie
perturbation theory,Process,scienceie
fluids,Material,scienceie
intermolecular potential,Process,scienceie
unbounded constituent particles,Material,scienceie
hard spheres,Material,scienceie
square well fluids,Material,scienceie
lj fluids,Material,scienceie
argon,Material,scienceie
alkanes,Material,scienceie
reference fluids,Material,scienceie
saft eos,Process,scienceie
saft-vr mie,Process,scienceie
