term,annotation,df
accuracy,metrics,ai_dev
error rate,metrics,ai_dev
SVM,algorithm,ai_dev
classification algorithms,ai,ai_dev
regularized least-squares,algorithm,ai_dev
logistic regression,algorithm,ai_dev
Brion James,person,ai_dev
Leon Kowalski,person,ai_dev
Joanna Cassidy,person,ai_dev
Zhora,person,ai_dev
Standards Eastern Automatic Computer,product,ai_dev
SEAC,product,ai_dev
NIST,organisation,ai_dev
Segmenting the text into topics,task,ai_dev
discourse turns,ai,ai_dev
information retrieval,task,ai_dev
speech recognition,task,ai_dev
Indiana University,university,ai_dev
Spiritual Robots,conference,ai_dev
Stanford University,university,ai_dev
Ray Kurzweil,researcher,ai_dev
Hans Moravec,researcher,ai_dev
Kevin Kelly,researcher,ai_dev
Ralph Merkle,researcher,ai_dev
Bill Joy,researcher,ai_dev
Frank Drake,researcher,ai_dev
John Henry Holland,researcher,ai_dev
John Koza,researcher,ai_dev
precision,metrics,ai_dev
p,metrics,ai_dev
recall,metrics,ai_dev
r,metrics,ai_dev
Google,organisation,ai_dev
AlphaGo,product,ai_dev
Lee Sedol,person,ai_dev
Go,ai,ai_dev
word embedding,ai,ai_dev
NLP,field,ai_dev
unsupervised disambiguation system,product,ai_dev
word sense,ai,ai_dev
WordNet,product,ai_dev
Machine learning,field,ai_dev
Supervised learning,field,ai_dev
Unsupervised learning,field,ai_dev
Scheinman,researcher,ai_dev
Stanford arm,product,ai_dev
Log loss,metrics,ai_dev
gradient-based method,ai,ai_dev
machine learning,field,ai_dev
support-vector machines,algorithm,ai_dev
SVMs,algorithm,ai_dev
support-vector networks,algorithm,ai_dev
supervised learning,field,ai_dev
classification,task,ai_dev
regression analysis,task,ai_dev
Machine translation,task,ai_dev
MT,task,ai_dev
TER,metrics,ai_dev
METEOR,metrics,ai_dev
Banerjee,researcher,ai_dev
Lavie,researcher,ai_dev
upper ontology,ai,ai_dev
IEEE,organisation,ai_dev
Ian Niles,researcher,ai_dev
Adam Pease,researcher,ai_dev
Cryo Electron Tomography,ai,ai_dev
compressive sensing techniques,algorithm,ai_dev
regularization functions,algorithm,ai_dev
Huber loss,metrics,ai_dev
whitening,ai,ai_dev
R,programlang,ai_dev
ZCA-whitening,algorithm,ai_dev
PCA whitening,algorithm,ai_dev
CCA whitening,algorithm,ai_dev
whitening R package,product,ai_dev
CRAN,product,ai_dev
MATLAB,product,ai_dev
Simulink,product,ai_dev
NumPy,product,ai_dev
VHDL,product,ai_dev
PSpice,product,ai_dev
Verilog,product,ai_dev
Assembly language,programlang,ai_dev
Kiichiro Toyoda,person,ai_dev
Sakichi Toyoda,person,ai_dev
Toyota Industries,organisation,ai_dev
automobiles,product,ai_dev
semi-supervised learning,field,ai_dev
Sony,organisation,ai_dev
QRIO,product,ai_dev
Wow Wee,organisation,ai_dev
RoboSapien,product,ai_dev
Webber,researcher,ai_dev
Association for the Advancement of Artificial Intelligence,conference,ai_dev
data-mining,field,ai_dev
database,field,ai_dev
automated natural,task,ai_dev
language understanding,task,ai_dev
Project Nemmadi,ai,ai_dev
MCA21 Mission Mode Project,ai,ai_dev
Digital India,ai,ai_dev
India,country,ai_dev
Electronic Government Directorate,organisation,ai_dev
Pakistan,country,ai_dev
PhD,ai,ai_dev
Radio Physics,field,ai_dev
Electronics,field,ai_dev
Rajabazar Science College,university,ai_dev
University of Calcutta,university,ai_dev
Indian Statistical Institute,university,ai_dev
Electrical Engineering,field,ai_dev
Diploma of the Imperial College,ai,ai_dev
Imperial College,university,ai_dev
University of London,university,ai_dev
Expo II,location,ai_dev
The Diamond Wizard,ai,ai_dev
Hawaiian Nights,ai,ai_dev
Mamie Van Doren,person,ai_dev
