support vector machine	Support-vector machine
water	Water
primary alcohols	Primary alcohol
alcohols	Alcohol
molecules	Molecule
absorption	Absorption
statistical mechanics	Statistical mechanics
phase transitions	Phase transition
first order phase transition	Phase transition
partition function	Partition function
spin	Spin
aluminium	Aluminium
copper	Copper
lead shot	Shot (pellet)
inorganic waste	Inorganic waste
masonry	Masonry
concrete	Concrete
particle	Particle
les	LES
pda	Personal digital assistant
fluid	Fluid
dem	DEM (disambiguation)
particles	Particle
gas	Gas
d2	D2
ins	INS
h2	H2
neutron spectroscopy	Neutron spectroscopy
mof	MOF
weak interaction	Weak interaction
liquid	Liquid
grain	Grain
oxygen	Oxygen
cation	Ion
grain growth	Grain growth
variational principles	Variational principle
approach	Approach
action integral	Action (physics)
lagrangian	Lagrangian
hamiltonian mechanics	Hamiltonian mechanics
pendulums	Pendulum
planets	Planet
water waves	Wind wave
physical phenomena	Phenomenon
framework	Framework
system	System
numerical approximation	Numerical analysis
physisorption	Physisorption
n2	N2
co	CO
co2	Carbon dioxide
ch4	Methane
nh3	NH 3
so2	SO2
adsorbent	Adsorption
molecule	Molecule
adsorbents	Adsorption
h2o	Water
doping	Doping
graphene	Graphene
chemical substitution	Substitution reaction
markov chain	Markov chain
gas-cooled reactors	Gas-cooled reactor
carbon dioxide	Carbon dioxide
coolant	Coolant
neutron moderation	Neutron moderator
neutron	Neutron
carbon monoxide	Carbon monoxide
air	Atmosphere of Earth
graphite	Graphite
methane gas	Methane
methane	Methane
nitrogen	Nitrogen
reactor	Reactor
ls	Ls
finite difference scheme	Finite difference method
finite difference schemes	Finite difference method
pipes	Pipe
rcs	RCS
pipe	Pipe
alloys	Alloy
atmospheric modelling	Atmospheric model
meshes	Mesh
variational methods	Calculus of variations
mesh	Mesh
sphere	Sphere
forcing	Forcing
damping	Damping
kelvin waves	Kelvin wave
natural frequency	Natural frequency
ω	Omega
wind	Wind
waves	Waves
|ω−ωf|	Ω−ωf
kelvin wave	Kelvin wave
cl	Chlorine
probability distribution	Probability distribution
sign problem	Numerical sign problem
distribution	Distribution
polyatomic molecules	Molecule
laser pulse	Laser
channels	Channel
chirp	Chirp
fragmentation	Fragmentation
chemical reaction rate	Reaction rate
gas exchange	Gas exchange
chemical reactions	Chemical reaction
computational fluid dynamics	Computational fluid dynamics
direct numerical simulation	Direct numerical simulation
dns	Domain Name System
molecular diffusion	Molecular diffusion
chemical reaction	Chemical reaction
transport phenomena	Transport phenomena
gases	Gas
semiconducting material	Semiconductor
transition metal	Transition metal
cds	CDS
gan	Gan
tio2	Titanium dioxide
electrons	Electron
reactor core	Nuclear reactor core
neutrons	Neutron
nuclear reactor	Nuclear reactor
uam	Uam
tsunami	Tsunami
solar cell	Solar cell
cell	Cell
solar cells	Solar cell
chiral molecules	Chirality (chemistry)
stereoisomer	Stereoisomerism
enantiomers	Enantiomer
enantiomeric excess	Enantiomeric excess
benchmarks	Benchmark
squid	Squid
hamiltonian	Hamiltonian
configuration interaction	Configuration interaction
ci	CI
physics	Physics
crystal	Crystal
oxide	Oxide
ti	TI
alloy	Alloy
titanium	Titanium
matrix	Matrix
y	Y
o	O
pyrochlore	Pyrochlore
irradiation	Irradiation
iter	ITER
vessel	Vessel
helium	Helium
cooling system	Cooling system
divertor	Divertor
tritium	Tritium
dust	Dust
carbon	Carbon
saft	Saft
perturbation theory	Perturbation theory
fluids	Fluid
hard spheres	Hard spheres
argon	Argon
alkanes	Alkane
beads	Bead
bead	Bead
l-cysteine	Cysteine
purine	Purine
tautomers	Tautomer
ions	Ion
hydrogen	Hydrogen
molecular dynamics	Molecular dynamics
molybdenum-99	Isotopes of molybdenum
crystalline	Crystal
boron	Boron
sodium	Sodium
glass	Glass
alumina	Aluminium oxide
albite	Albite
mathematical model	Mathematical model
algorithm	Algorithm
segmentation	Segment
magnetic field	Magnetic field
chemical yield	Yield (chemistry)
magnetic field intensity	Magnetic field
α	Alpha
b	B
electron spin	Electron magnetic moment
reducing agents	Reducing agent
pyh	Push-to-talk
reducing agent	Reducing agent
formaldehyde	Formaldehyde
formic acid	Formic acid
methanol	Methanol
radicals	Radical
reductant	Reducing agent
rm	RM
saturated calomel electrode	Saturated calomel electrode
dataset	Data set
simulations	Simulation
volta potential	Volta potential
ψ	Psi (Greek)
potential difference	Voltage
metal	Metal
processors	Central processing unit
parallel computers	Parallel computing
parameterizations	Parametrization (geometry)
flow	Flow
p-box	P-box
flows	Flow
film	Film
atom	Atom
analytic model	Glossary of computer graphics
surface diffusion	Surface diffusion
thin films	Thin film
n-eicosane	Icosane
vapour pressure	Vapor pressure
hydrogen atoms	Hydrogen atom
carbon units	Carbon unit
wall	Wall
two-phase flows	Two-phase flow
surface tension	Surface tension
capillary waves	Capillary wave
uranium carbide	Uranium carbide
pebble bed reactors	Pebble-bed reactor
uranium dioxide	Uranium dioxide
gfr	GFR
very high temperature reactor	High-temperature gas reactor
oxides	Oxide
carbides	Carbide
fuel	Fuel
xc	XC
burnup	Burnup
actinide	Actinide
dft	DFT
density functional theory	Density functional theory
hydrides	Hydride
zirconium	Zirconium
cladding	Cladding
hydride	Hydride
dhc	DHC
thermal expansion	Thermal expansion
surfactant	Surfactant
surface active agent	Surfactant
acid	Acid
nonylphenol ethoxylate	Nonoxynols
surfactants	Surfactant
quaternary ammonium salts	Quaternary ammonium cation
amines	Amine
quaternary ammonium compounds	Quaternary ammonium cation
quats	Quaternary ammonium cation
emulsifiers	Emulsion
cis	Cis
statistical model	Statistical model
query	Query
modeling	Model
informatics	Informatics
analytics	Analytics
pore	Pore
cellular structure	Cellular
crack	Crack
nuclear reactors	Nuclear reactor
oxidation	Redox
optical properties	Optical properties
resonance energy transfer	Förster resonance energy transfer
absorption bands	Spectral line
quantum electrodynamic	Quantum electrodynamics
qed	QED
light-harvesting complexes	Light-harvesting complex
energy transfer	Energy
atoms	Atom
photon	Photon
comparative analysis	Comparative analysis
fm	FM
fe	Fe
vessels	Vessel
nodes	Node
harmonic superspace	Harmonic superspace
gauge transformation	Gauge theory
propagator	Propagator
dg	DG
shallow water equations	Shallow water equations
cfl number	Courant–Friedrichs–Lewy condition
supersymmetry	Supersymmetry
susy	Susy
squarks	Sfermion
evolutionary algorithms	Evolutionary algorithm
optimization problem	Optimization problem
emo	Emo
topological insulators	Topological insulator
tis	TIS
spin–orbit interaction	Spin–orbit interaction
angle resolved photoemission spectroscopy	Angle-resolved photoemission spectroscopy
ab initio calculations	Ab initio
topological insulator	Topological insulator
