Water	Q283
Primary alcohol	Q2832210
Alcohol	Q156
Molecule	Q11369
Statistical mechanics	Q188715
Phase transition	Q185357
Aluminium	Q663
Copper	Q753
Shot (pellet)	Q278938
Inorganic waste	Q98079057
Masonry	Q272999
Concrete	Q22657
Particle	Q1621273
Personal digital assistant	Q162768
Fluid	Q102205
Gas	Q11432
Neutron spectroscopy	Q7003117
Weak interaction	Q11418
Liquid	Q11435
Grain	Q2995529
Oxygen	Q629
Ion	Q36496
Grain growth	Q1492573
Variational principle	Q745215
Action (physics)	Q846785
Hamiltonian mechanics	Q477921
Pendulum	Q20702
Planet	Q634
Wind wave	Q165848
Phenomenon	Q483247
System	Q58778
Numerical analysis	Q11216
Physisorption	Q354417
Carbon dioxide	Q1997
Methane	Q37129
Adsorption	Q180254
Graphene	Q169917
Substitution reaction	Q503396
Markov chain	Q176645
Gas-cooled reactor	Q3100709
Coolant	Q1056832
Neutron moderator	Q466714
Neutron	Q2348
Carbon monoxide	Q2025
Atmosphere of Earth	Q3230
Graphite	Q5309
Nitrogen	Q627
Ls	Q283503
Finite difference method	Q1147751
Alloy	Q37756
Atmospheric model	Q4817115
Mesh	Q24503377
Calculus of variations	Q216861
Sphere	Q12507
Damping	Q1127660
Kelvin wave	Q1738426
Natural frequency	Q946764
Omega	Q9890
Wind	Q8094
Chlorine	Q688
Probability distribution	Q200726
Numerical sign problem	Q7069666
Laser	Q38867
Chirp	Q27304
Reaction rate	Q3394849
Gas exchange	Q1146120
Chemical reaction	Q36534
Computational fluid dynamics	Q815820
Direct numerical simulation	Q1227572
Domain Name System	Q8767
Molecular diffusion	Q17104113
Transport phenomena	Q679643
Semiconductor	Q11456
Transition metal	Q19588
Titanium dioxide	Q193521
Electron	Q2225
Nuclear reactor core	Q1353262
Nuclear reactor	Q80877
Uam	Q7876347
Tsunami	Q8070
Solar cell	Q58803
Chirality (chemistry)	Q214514
Stereoisomerism	Q47455153
Enantiomer	Q494483
Enantiomeric excess	Q568761
Squid	Q81900
Configuration interaction	Q900672
Physics	Q413
Crystal	Q43533
Oxide	Q50690
Titanium	Q716
Y	Q9973
O	Q9941
Pyrochlore	Q417202
Irradiation	Q2737837
ITER	Q191788
Helium	Q560
Divertor	Q1230603
Tritium	Q54389
Dust	Q165632
Carbon	Q623
Perturbation theory	Q10886678
Hard spheres	Q2435125
Argon	Q696
Alkane	Q41581
Bead	Q1053956
Cysteine	Q186474
Purine	Q188261
Tautomer	Q334640
Hydrogen	Q556
Molecular dynamics	Q901663
Isotopes of molybdenum	Q469900
Boron	Q618
Sodium	Q658
Glass	Q11469
Aluminium oxide	Q177342
Albite	Q182264
Mathematical model	Q486902
Algorithm	Q8366
Magnetic field	Q11408
Yield (chemistry)	Q777948
Alpha	Q9887
B	Q9705
Electron magnetic moment	Q13534105
Reducing agent	Q216830
Push-to-talk	Q178127
Formaldehyde	Q161210
Formic acid	Q161233
Methanol	Q14982
Saturated calomel electrode	Q898591
Data set	Q1172284
Simulation	Q45045
Volta potential	Q746577
Psi (Greek)	Q14432
Voltage	Q25428
Metal	Q11426
Central processing unit	Q5300
Parallel computing	Q232661
Parametrization (geometry)	Q3290922
Film	Q11424
Atom	Q9121
Glossary of computer graphics	Q25106492
Surface diffusion	Q3027666
Thin film	Q1137203
Icosane	Q150925
Vapor pressure	Q2661322
Hydrogen atom	Q6643508
Wall	Q42948
Two-phase flow	Q232997
Surface tension	Q170749
Capillary wave	Q15143885
Uranium carbide	Q2937977
Pebble-bed reactor	Q1622414
Uranium dioxide	Q378379
High-temperature gas reactor	Q1204277
Carbide	Q241906
Fuel	Q42501
Burnup	Q306811
Actinide	Q19577
Density functional theory	Q1048589
Hydride	Q106520
Zirconium	Q1038
Thermal expansion	Q6583695
Surfactant	Q191154
Acid	Q11158
Nonoxynols	Q72426
Quaternary ammonium cation	Q420401
Amine	Q167198
Emulsion	Q187634
Statistical model	Q3284399
Informatics	Q4027615
Analytics	Q485396
Redox	Q82682
Optical properties	Q55643261
Förster resonance energy transfer	Q367473
Spectral line	Q212111
Quantum electrodynamics	Q234881
Light-harvesting complex	Q355270
Energy	Q11379
Photon	Q3198
Harmonic superspace	Q5659289
Gauge theory	Q214850
Propagator	Q302518
Shallow water equations	Q4008384
Courant–Friedrichs–Lewy condition	Q1023483
Supersymmetry	Q193442
Sfermion	Q2347008
Evolutionary algorithm	Q14489129
Optimization problem	Q984063
Emo	Q10926
Topological insulator	Q1488689
Spin–orbit interaction	Q1570979
Angle-resolved photoemission spectroscopy	Q1000635
Ab initio	Q46310
Magnetism	Q3294789
Superconductivity	Q124131
Ferromagnetism	Q184207
Hall effect	Q10656
Majorana fermion	Q1065883
Wire	Q551997
Thinning	Q1266974
Fracture	Q5120022
Concrete cover	Q831627
Beams	Q4876226
Column	Q4817
Linear model	Q3339222
Inference	Q408386
Lead	Q708
Slug	Q1953597
Database	Q8513
Nomad	Q128393
Case study	Q155207
E-procurement	Q377505
Supply chain	Q1824206
Feature extraction	Q1026626
Deep learning	Q197536
Performance	Q35140
Real-time computing	Q3988
Mineral	Q7946
Semantic network	Q1045785
Corrosion	Q137056
Diffusion barrier	Q5275435
Anodizing	Q567502
Electrolyte	Q162908
Polymer	Q81163
Chemical vapor deposition	Q505668
Fluidized bed	Q2666694
Carbon nanotube	Q1778729
Trial and error	Q2219080
Hidden node problem	Q2565413
Generalization	Q170084
Elm	Q131113
Silicon dioxide	Q116269
Relative permeability	Q7310797
Electrical resistivity and conductivity	Q65402698
Austenite	Q487286
Paramagnetism	Q188479
Decarburization	Q838577
Steel	Q11427
Finite element method	Q220184
Microstructure	Q1498213
Sensor	Q167676
Monte Carlo algorithm	Q15238499
Conjugate gradient method	Q1191895
Box	Q188075
Tevatron	Q944533
Large Hadron Collider	Q40605
Hadron collider	Q16964297
Higgs boson	Q402
Standard Model	Q18338
Norbornene	Q420176
Norbornadiene	Q726795
Picket fence	Q3487546
Double-exchange mechanism	Q5299593
Electron transfer	Q902898
Iron	Q677
Mössbauer spectroscopy	Q899927
Inverse problem	Q1567213
Experimental data	Q5421151
Potentiometer	Q187868
Parameter	Q1413083
Genetic algorithm	Q187787
Synthetic data	Q7662746
Quantum vacuum state	Q766202
Vacuum	Q11475
Unpaired electron	Q374793
Thermal oxidation	Q1549368
Electric charge	Q1111
Thrombus	Q1588755
Dirac equation	Q272621
Pauli equation	Q604572
Polynomial expansion	Q6452866
Irreducible representation	Q13690522
H	Q9914
Vector meson	Q2748910
Metric (mathematics)	Q865746
Analysis	Q217602
Standard algorithms	Q7598328
Training, validation, and test sets	Q3985153
K-means clustering	Q310401
Hyperparameter optimization	Q48996162
Old age	Q191089
Patient	Q181600
Microphone	Q46384
Communication	Q11024
Robot	Q11012
Model (art)	Q1630100
Baryon	Q159731
Lambda	Q10897
Sigma	Q14413
Meson	Q102742
Rho	Q14412
Eta	Q14396
K	Q9922
Hadron	Q101667
Kaon	Q843503
High-energy nuclear physics	Q12416032
Collision	Q238053
Quantum chromodynamics	Q238170
Step-growth polymerization	Q901428
Radical polymerization	Q2620998
Polyester	Q188245
Polyamide	Q145273
Epoxies	Q464392
Solution	Q5447188
Dispersed media	Q12101201
Bulk polymerization	Q6137196
Polymerization	Q181898
Reagent	Q2356542
Solvent	Q146505
Drop (liquid)	Q185789
Crystal structure	Q895901
Energy conservation	Q380170
Friction	Q82580
Dissipation	Q898440
Copolymer	Q421281
Acrylate	Q343016
Water-gas shift reaction	Q1466348
Industrial processes	Q1408286
Catalysis	Q82264
Calcite	Q171917
Quantum computing	Q176555
Linear particle accelerator	Q836828
Reinforcement learning	Q830687
Pattern matching	Q1503724
Unified framework	Q17053202
Coating	Q1570182
Ra	Q1252904
Design methods	Q2292993
Network virtualization	Q4112081
Seesaw mechanism	Q1094257
Quark	Q6718
Yukawa interaction	Q31387
Toxicity	Q274160
Algae	Q37868
Isochrysis galbana	Q16983663
Chloroplast	Q47263
Aerospace	Q2876213
Vehicle	Q42889
Adhesive	Q131790
Fracture toughness	Q911969
Hybrid material	Q2159673
Thermogravimetric analysis	Q902806
Reducing atmosphere	Q7306351
Weight transfer (dancing)	Q7979883
Perovskite	Q409787
Calcination	Q849523
In situ adaptive tabulation	Q6011744
Solid	Q11438
Clathrate hydrate	Q864080
Thermal conductivity	Q487005
Cam	Q495933
Continuous function	Q170058
Least squares	Q74304
Polynomial	Q43260
Coefficient	Q50700
Micelle	Q421110
Dynamic light scattering	Q896108
Self-assembly	Q910150
Doxorubicin	Q18936
Cytotoxicity	Q246181
Hyperthermia	Q242165
Coupling	Q944517
Constitutive equation	Q1937401
Porous medium	Q3271208
U	Q9747
Word-sense disambiguation	Q48522
Throttle	Q961356
Warped geometry	Q988401
Toll-like receptor	Q408004
Antigen-presenting cell	Q1047791
TLR9	Q15332550
Clinical trial	Q30612
Adjuvant	Q357896
Model organism	Q213907
Liposome	Q410454
Curse of dimensionality	Q1430460
Support-vector machine	Q282453
Computation	Q12525525
Approximation	Q27058
Partial current	Q3694432
Aluminium alloy	Q447725
Social networking service	Q3220391
Mobile app	Q620615
Knowledge management	Q192060
Kilometre	Q828224
Knowledge management software	Q1427675
Role-based access control	Q1702839
Level-set method	Q1751397
Fast marching method	Q5437042
Level set	Q126955
Area	Q11500
Computer simulation	Q925667
Brass	Q39782
Subtraction	Q40754
Optical microscope	Q912313
Scanning electron microscope	Q321095
Microscopy	Q1074953
Microscope	Q196538
Data analysis	Q1988917
Thermalisation	Q1347805
Nuclear reaction	Q238323
Quantum spin liquid	Q1661413
Silicon	Q670
Air entrainment	Q3523286
Sediment transport	Q7445303
Breaking wave	Q661247
Expectation–maximization algorithm	Q1275153
Nemytskii operator	Q6991377
Molybdenum	Q1053
Activation	Q4661718
Radiant exposure	Q1418023
Rust	Q184197
Heat	Q44432
Exhaust gas	Q320173
Binary collision approximation	Q4913881
Coulomb collision	Q869411
Anomaly detection	Q3560506
Data mining	Q172491
Phi	Q10029
Boundary value problem	Q1332643
Prism	Q165896
Transformation matrix	Q1482183
Geometrical optics	Q467980
Effectiveness	Q1296024
Robustness	Q403605
Object point	Q28455541
Image	Q478798
Glasses	Q37501
Indentation hardness	Q3150000
Cathodic protection	Q15152527
A	Q9659
Environmental flow	Q2259545
Taylor series	Q131187
Compact star	Q368442
Isogeometric analysis	Q17082433
Surface	Q55634432
Synthetic diamond	Q751479
Diamond	Q5283
Polishing	Q1054722
Coupon	Q11034548
Polished	Q7210088
Isopropyl alcohol	Q16392
Ultrasonic cleaning	Q1085360
Propanol	Q3407542
Cleaning	Q17200001
Lump sum	Q2884599
Principal component analysis	Q2873
DNA	Q7430
Peptide	Q172847
Dotma	Q5299461
World Trade Organization	Q7825
MP3	Q42591
Ecolinguistics	Q294936
Video-oculography	Q6161730
Vog	Q2896842
Stimulation	Q4114622
Electromagnetic field	Q177625
Longitudinal wave	Q626707
Organic matter	Q1783121
Optical pumping	Q2027473
Organic (model)	Q7101794
Biosensor	Q669391
Chemoreceptor	Q1069641
Absorption (electromagnetic radiation)	Q905921
Charge density	Q744771
Kalman filter	Q846780
Software development	Q638608
Training	Q918385
Software development process	Q2904257
Software industry	Q880371
Chaos theory	Q166314
Polystyrene	Q146243
Wireless sensor network	Q336038
Wireless ad hoc network	Q4085781
Édouard Manet	Q40599
Routing protocol	Q1648707
Mobile wireless sensor network	Q17149548
Thermodynamic equilibrium	Q51363
Molecular vibration	Q900121
Rotational energy	Q2140940
Linear response function	Q3261000
Manganese	Q731
Caproni Campini N.1	Q963609
Diffusion	Q163214
Grain boundary	Q900515
Uranium	Q1098
Loop around	Q6675815
Potential	Q1202245
Surface area	Q1379273
R-symmetry	Q3928107
Ionization	Q190382
W	Q9964
D	Q9884
C	Q9820
Seismic tomography	Q1850768
X-ray absorption spectroscopy	Q903103
X-ray emission spectroscopy	Q1532011
Eigenvalues and eigenvectors	Q190524
Calculation	Q622821
Deep structure and surface structure	Q1412344
Boundary element method	Q1935004
Fast multipole method	Q5437040
Partial pressure	Q27165
Vapor	Q255722
Phase (matter)	Q104837
Greenhouse gas	Q167336
Sic	Q192003
Aspect-oriented programming	Q30267
Grain boundary strengthening	Q264845
Fading	Q1196572
Porosity	Q622669
Knowledge base	Q593744
Expert system	Q184609
Jena	Q3150
Factorization	Q188804
Fragmentation function	Q25099950
Subdivision surface	Q1529124
Model building	Q917912
Crystallization of polymers	Q1789148
Staining	Q2332446
Sample preparation	Q2540164
Crystal growth	Q185154
Melting	Q106080
Solar irradiance	Q7556707
Natural convection	Q3285020
Correlation and dependence	Q186290
Service provider	Q2169973
Global analysis	Q17017346
Neutrino	Q2126
Input device	Q864114
Sampling (signal processing)	Q210868
Through-silicon via	Q1578120
Jet set	Q1259750
Resonance	Q172858
Foreign direct investment	Q490513
Wavelet	Q831390
Time series	Q186588
Autocorrelation	Q786970
Charm quark	Q6754
Fermionic condensate	Q898383
Ope	Q2288034
Black hole	Q589
List of relativistic equations	Q6636278
Quantum field theory	Q54505
Wave function	Q2362761
Face detection	Q11681085
Noise reduction	Q581861
Video scaler	Q98650565
Gesture recognition	Q1519524
Astrophysical maser	Q1341811
Neutron star	Q4202
Observation	Q193181
Hydrogen line	Q1406191
Pomeron	Q1126045
Iron(III) chloride	Q399771
Cod	Q13194939
Stress corrosion cracking	Q585977
Inconel	Q898562
Stainless steel	Q172587
Pressurized water reactor	Q377968
Plant	Q756
Review	Q265158
Galerkin method	Q1491980
Adaptive mesh refinement	Q4680751
P	Q9946
Diagnosis	Q16644043
Rolling-element bearing	Q1335987
Nanosphere lithography	Q17043033
Polyimide	Q145958
Polyvinyl alcohol	Q146339
Crystallization	Q284256
Low-carbon economy	Q3267905
Economic development	Q4530482
Technological innovation	Q10302305
Non-uniform rational B-spline	Q734737
