term,annotation,df
inherited breast and ovarian cancer,Disease,ncbi
tumour,Disease,ncbi
ovarian cancer,Disease,ncbi
breast cancer,Disease,ncbi
cancer,Disease,ncbi
cancers,Disease,ncbi
hereditary breast and ovarian cancer,Disease,ncbi
hereditary ovarian cancer,Disease,ncbi
inherited cancer syndrome,Disease,ncbi
myotonic dystrophy,Disease,ncbi
dm,Disease,ncbi
hereditary retinoblastoma,Disease,ncbi
familial or sporadic bilateral retinoblastoma,Disease,ncbi
type ii human complement c2 deficiency,Disease,ncbi
type ii complement protein c2 deficiency,Disease,ncbi
type i c2 deficiency,Disease,ncbi
type ii deficiency,Disease,ncbi
type ii c2 deficiency,Disease,ncbi
von willebrand,Disease,ncbi
type iid von willebrand disease,Disease,ncbi
wiskott - aldrich syndrome,Disease,ncbi
was,Disease,ncbi
x - linked adrenoleukodystrophy,Disease,ncbi
addison ' s disease,Disease,ncbi
ald,Disease,ncbi
genetic disease,Disease,ncbi
demyelination of the central nervous system,Disease,ncbi
adrenal insufficiency,Disease,ncbi
adrenomyeloneuropathy,Disease,ncbi
amn,Disease,ncbi
addisons disease,Disease,ncbi
cerebral ald,Disease,ncbi
adrenocortical insufficiency,Disease,ncbi
tumor,Disease,ncbi
prostate carcinoma,Disease,ncbi
prostate cancer,Disease,ncbi
prostate carcinomas,Disease,ncbi
prostatic adenocarcinoma,Disease,ncbi
prostate adenocarcinoma,Disease,ncbi
breast carcinoma,Disease,ncbi
sporadic cancers,Disease,ncbi
familial breast and ovarian cancer,Disease,ncbi
sporadic breast and ovarian cancers,Disease,ncbi
familial breast cancer,Disease,ncbi
tumours,Disease,ncbi
sporadic breast cancers,Disease,ncbi
pancreatic tumour,Disease,ncbi
pancreatic cancer,Disease,ncbi
breast and ovarian cancer,Disease,ncbi
breast - ovarian cancer,Disease,ncbi
tumors,Disease,ncbi
"prostatic , pancreas , skin , and lung cancer",Disease,ncbi
malignant melanoma,Disease,ncbi
oligodendroglioma,Disease,ncbi
carcinosarcoma,Disease,ncbi
hereditary breast cancer,Disease,ncbi
ovarian cancers,Disease,ncbi
breast and / or ovarian cancer,Disease,ncbi
breast / ovarian cancer,Disease,ncbi
li - fraumeni syndrome,Disease,ncbi
sporadic tumours,Disease,ncbi
leiomyosarcoma,Disease,ncbi
nonocular tumors,Disease,ncbi
huntington disease,Disease,ncbi
hd,Disease,ncbi
canavan disease,Disease,ncbi
deficiency of aspartoacylase,Disease,ncbi
deficiency of aspa,Disease,ncbi
ataxia - telangiectasia,Disease,ncbi
a - t,Disease,ncbi
fatal lymphoreticular disease,Disease,ncbi
familial mediterranean fever,Disease,ncbi
fmf,Disease,ncbi
myopathy,Disease,ncbi
hypertrophic cardiomyopathy,Disease,ncbi
atrophy,Disease,ncbi
myotonia,Disease,ncbi
cataract,Disease,ncbi
male - infertility,Disease,ncbi
autosomal dominant disorder,Disease,ncbi
dmpk deficient,Disease,ncbi
progressive skeletal myopathy,Disease,ncbi
fibre degeneration,Disease,ncbi
fibrosis,Disease,ncbi
breast and ovarian cancers,Disease,ncbi
coronary heart disease,Disease,ncbi
chd,Disease,ncbi
cetp deficiency,Disease,ncbi
retinoblastoma,Disease,ncbi
x - linked thrombocytopenia,Disease,ncbi
eye abnormalities,Disease,ncbi
aniridia,Disease,ncbi
semidominant developmental disorders,Disease,ncbi
iris hypoplasia,Disease,ncbi
brain abnormalities,Disease,ncbi
developmental abnormalities of the eye,Disease,ncbi
developmental defects,Disease,ncbi
inherited metabolic disorder,Disease,ncbi
galactosemia,Disease,ncbi
disorder of inappropriate apoptosis,Disease,ncbi
prader - willi syndrome,Disease,ncbi
pws,Disease,ncbi
von hippel - lindau disease tumour,Disease,ncbi
von hippel - lindau ( vhl ) disease,Disease,ncbi
vhl,Disease,ncbi
"retinal , cerebellar and spinal haemangioblastomas",Disease,ncbi
renal cell carcinoma,Disease,ncbi
phaeochromocytoma,Disease,ncbi
sporadic renal cell carcinoma,Disease,ncbi
haemangioblastoma,Disease,ncbi
hereditary breast cancers,Disease,ncbi
hereditary breast or ovarian cancer,Disease,ncbi
breast or ovarian cancer,Disease,ncbi
hereditary cancer,Disease,ncbi
inherited human disorder,Disease,ncbi
fish - eye disease,Disease,ncbi
fed,Disease,ncbi
cerebellar ataxia,Disease,ncbi
non - papillary renal cell carcinomas,Disease,ncbi
sporadic renal cell carcinomas,Disease,ncbi
parenchymal tumours of the kidney,Disease,ncbi
renal cell carcinomas,Disease,ncbi
papillary renal cell tumours,Disease,ncbi
renal oncocytomas,Disease,ncbi
non - papillary renal cell carcinoma,Disease,ncbi
emery - dreifuss muscular dystrophy,Disease,ncbi
emdm,Disease,ncbi
edmd,Disease,ncbi
endometrial cancer,Disease,ncbi
microsatellite instability,Disease,ncbi
hereditary nonpolyposis colorectal cancer,Disease,ncbi
hnpcc,Disease,ncbi
endometrial carcinomas,Disease,ncbi
endometrial carcinoma,Disease,ncbi
at,Disease,ncbi
norrie disease,Disease,ncbi
nd,Disease,ncbi
x - linked recessive neurological disorder,Disease,ncbi
alveolar rhabdomyosarcoma,Disease,ncbi
pediatric alveolar rhabdomyosarcoma,Disease,ncbi
enzyme deficiency,Disease,ncbi
glucose - 6 - phosphate dehydrogenase ( g6pd ) deficiency,Disease,ncbi
chronic nonspherocytic hemolytic anemia,Disease,ncbi
g6pd deficiency,Disease,ncbi
lipomas,Disease,ncbi
lipoma,Disease,ncbi
primary lipomas,Disease,ncbi
behavioral abnormalities,Disease,ncbi
sporadic aniridia,Disease,ncbi
bilateral sporadic aniridia,Disease,ncbi
familial aniridia,Disease,ncbi
chromosome abnormalities,Disease,ncbi
glucose - 6 - phosphate dehydrogenase deficiency,Disease,ncbi
phenylketonuria,Disease,ncbi
pku,Disease,ncbi
autosomal recessive disorder,Disease,ncbi
deficiency of hepatic phenylalanine hydroxylase,Disease,ncbi
pah - deficient,Disease,ncbi
benign familial neonatal convulsions,Disease,ncbi
autosomal dominant nocturnal frontal lobe epilepsy,Disease,ncbi
idiopathic epilepsies,Disease,ncbi
inherited breast cancer,Disease,ncbi
inherited breast / ovarian cancer,Disease,ncbi
male breast cancer,Disease,ncbi
growth retardation,Disease,ncbi
chromosomal fragmentation during meiosis,Disease,ncbi
immune defects,Disease,ncbi
thymic lymphoma,Disease,ncbi
inherited human disease,Disease,ncbi
infertility,Disease,ncbi
thymic lymphomas,Disease,ncbi
vlcad deficiency,Disease,ncbi
combined subtotal deficiencies of c6 and c7,Disease,ncbi
c6 and c7 deficiencies,Disease,ncbi
combined subtotal deficiency of c6 and c7,Disease,ncbi
c6 or c7 deficiency,Disease,ncbi
c6 - deficient,Disease,ncbi
complement c7 deficiency,Disease,ncbi
c7d,Disease,ncbi
bacterial infections,Disease,ncbi
meningitis,Disease,ncbi
neisseria meningitidis,Disease,ncbi
deficiencies of complement components,Disease,ncbi
hprt - aprt - deficient,Disease,ncbi
lesch - nyhan syndrome,Disease,ncbi
complete hypoxanthine - guanine phosphoribosyl - transferase ( hprt ) deficiency,Disease,ncbi
hprt - deficient,Disease,ncbi
deficiency of aprt,Disease,ncbi
hprt - deficiency,Disease,ncbi
aprt deficiency,Disease,ncbi
aprt - hprt - deficient,Disease,ncbi
colorectal cancers,Disease,ncbi
pancreatic cancers,Disease,ncbi
colorectal cancer,Disease,ncbi
thymomas,Disease,ncbi
stage ii colorectal cancer,Disease,ncbi
colorectal carcinoma,Disease,ncbi
stage ii and iii colorectal carcinomas,Disease,ncbi
stage ii and stage iii colorectal carcinomas,Disease,ncbi
dcc - negative tumors,Disease,ncbi
stage iii disease,Disease,ncbi
stage ii or stage iii colorectal cancer,Disease,ncbi
stage ii colorectal carcinomas,Disease,ncbi
stage iii cancers,Disease,ncbi
anxiety - related traits,Disease,ncbi
anxiety,Disease,ncbi
anxiety - related personality traits,Disease,ncbi
atelosteogenesis type 2,Disease,ncbi
diastrophic dysplasia,Disease,ncbi
chondrodysplasias,Disease,ncbi
dtd,Disease,ncbi
ao2,Disease,ncbi
achondrogenesis type 1b,Disease,ncbi
acg1b,Disease,ncbi
dtdst chondrodysplasias,Disease,ncbi
ao - 2,Disease,ncbi
x - linked immunodeficiency disease,Disease,ncbi
isolated thrombocytopenia,Disease,ncbi
apc,Disease,ncbi
adenomatous polyposis coli,Disease,ncbi
familial adenomatous polyposis,Disease,ncbi
fap,Disease,ncbi
adenomatous polyps,Disease,ncbi
attenuated adenomatous polyposis coli,Disease,ncbi
aapc,Disease,ncbi
hyperparathyroidism and jaw tumor syndrome,Disease,ncbi
renal hamartomas,Disease,ncbi
cystic kidney disease,Disease,ncbi
hereditary hyperparathyroidism - jaw tumor syndrome,Disease,ncbi
hpt - jt,Disease,ncbi
autosomal dominant disease,Disease,ncbi
hpt - jt syndrome,Disease,ncbi
adult renal hamartomas,Disease,ncbi
renal lesions,Disease,ncbi
hpt,Disease,ncbi
jt,Disease,ncbi
polycystic kidney disease,Disease,ncbi
primary hpt,Disease,ncbi
multiple endocrine neoplasia ( men ) types 1 and 2,Disease,ncbi
men1,Disease,ncbi
men2,Disease,ncbi
jaw tumor,Disease,ncbi
parathyroid tumor,Disease,ncbi
g6pd deficient,Disease,ncbi
favism,Disease,ncbi
breast and 79 ovarian cancer,Disease,ncbi
"breast , ovarian , or other cancers",Disease,ncbi
cerebellar degeneration,Disease,ncbi
immunodeficiency,Disease,ncbi
cancer predisposition,Disease,ncbi
cancer - prone,Disease,ncbi
duarte and los angeles variant galactosemia,Disease,ncbi
duarte enzyme variant of galactosemia,Disease,ncbi
la variant of galactosemia,Disease,ncbi
metastatic tumors,Disease,ncbi
breast carcinomas,Disease,ncbi
autoimmune lymphoproliferative syndrome,Disease,ncbi
alps,Disease,ncbi
splenomegaly,Disease,ncbi
lymphadenopathy,Disease,ncbi
autoimmune manifestations,Disease,ncbi
type iv ehlers - danlos syndrome,Disease,ncbi
aortic rupture,Disease,ncbi
pelizaeus - merzbacher disease,Disease,ncbi
pmd,Disease,ncbi
x - linked spastic paraplegia,Disease,ncbi
spg,Disease,ncbi
nystagmus,Disease,ncbi
tremors,Disease,ncbi
mental retardation,Disease,ncbi
dementia,Disease,ncbi
personality disorders,Disease,ncbi
plp - associated disease,Disease,ncbi
kniest dysplasia,Disease,ncbi
chondrodysplasia,Disease,ncbi
defective formation of type ii collagen,Disease,ncbi
severely handicapped,Disease,ncbi
short stature,Disease,ncbi
restricted joint mobility,Disease,ncbi
blindness,Disease,ncbi
alkaptonuria,Disease,ncbi
"brain , breast , and prostate cancer",Disease,ncbi
glioblastoma,Disease,ncbi
