term,annotation,df
Brion James,person,ai_dev
Leon Kowalski,person,ai_dev
Joanna Cassidy,person,ai_dev
Zhora,person,ai_dev
Lee Sedol,person,ai_dev
Kiichiro Toyoda,person,ai_dev
Sakichi Toyoda,person,ai_dev
Mamie Van Doren,person,ai_dev
Pinky Lee,person,ai_dev
Harrison Ford,person,ai_dev
Rutger Hauer,person,ai_dev
Sean Young,person,ai_dev
Philip K. Dick,person,ai_dev
David Fincher,person,ai_dev
Kevin Spacey,person,ai_dev
Hampton Fancher,person,ai_dev
Sammon,person,ai_dev
Michael Deeley,person,ai_dev
Fancher,person,ai_dev
Ridley Scott,person,ai_dev
Manuel Toharia,person,ai_dev
Ragageles,person,ai_dev
Mick Foley,person,ai_dev
Rebecca Grant,person,ai_dev
Gary Hamel,person,ai_dev
C. K. Prahalad,person,ai_dev
Čapek,person,ai_dev
Samantha Ponder,person,ai_dev
Molly McGrath,person,ai_dev
Paul J. McAuley,person,ai_dev
Lester del Rey,person,ai_dev
Fernando Lamas,person,ai_dev
Arlene Dahl,person,ai_dev
David Arquette,person,ai_dev
Elizabeth Berkley,person,ai_dev
Thomas Jane,person,ai_dev
Norman McLaren,person,ai_dev
The Wachowskis,person,ai_dev
J. Michael Straczynski,person,ai_dev
Senator Edward M. Kennedy,person,ai_dev
Dalton,person,ai_test
Daniel Pearl,person,ai_test
Judea,person,ai_test
John Waters,person,ai_test
Walter R. Booth,person,ai_test
Cecil Hepworth,person,ai_test
Mustafa Suleyman,person,ai_test
Chris Landreth,person,ai_test
Zack Snyder,person,ai_test
Clint Eastwood,person,ai_test
Damien Chazelle,person,ai_test
Patty Jenkins,person,ai_test
Cary Joji Fukunaga,person,ai_test
Joseph Kosinski,person,ai_test
Louis Daguerre,person,ai_test
Henry Fox Talbot,person,ai_test
David Avidan,person,ai_test
Toyota,person,ai_test
Donna D 'Errico,person,ai_test
Carmen Electra,person,ai_test
Traci Bingham,person,ai_test
Heidi Mark,person,ai_test
Arj Barker,person,ai_test
Randy,person,ai_test
Jason Sklar,person,ai_test
John Ireland,person,ai_test
Joanne Dru,person,ai_test
Macdonald Carey,person,ai_test
Jack Broder,person,ai_test
Chris Rose,person,ai_test
Kenny Florian,person,ai_test
Edsinger,person,ai_test
Rachael,person,ai_test
Tyrell,person,ai_test
Nina Axelrod,person,ai_test
Fon Davis,person,ai_test
Jessica Chobot,person,ai_test
Leland Melvin,person,ai_test
Clark Gregg,person,ai_test
Adam Savage,person,ai_test
Vernon Davis,person,ai_test
Michael Stevens,person,ai_test
Vsauce,person,ai_test
Dug North,person,ai_test
Chomick + Meder,person,ai_test
Arthur Ganson,person,ai_test
Joe Jones,person,ai_test
Jacques Monestier,person,ai_test
François Junod,person,ai_test
Devol,person,ai_test
Sam Katzman,person,ai_test
William Castle,person,ai_test
Cole Porter,person,ai_test
Howard Keel,person,ai_test
Kathryn Grayson,person,ai_test
Ann Miller,person,ai_test
Keenan Wynn,person,ai_test
Bobby Van,person,ai_test
James Whitmore,person,ai_test
Kurt Kasznar,person,ai_test
Tommy Rall,person,ai_test
Marie Doro,person,ai_test
John B. Mason,person,ai_test
Jim the Penman,person,ai_test
Francis Ford Coppola,person,ai_train
Michael Jackson,person,ai_train
John Wayne,person,ai_train
Rita Hayworth,person,ai_train
Dean Martin,person,ai_train
Jerry Lewis,person,ai_train
Schirra,person,science_dev
Yukimasa Kishino,person,science_dev
Akio Ōtsuka,person,science_dev
Jūrōta Kosugi,person,science_dev
Kaoru Katō,person,science_dev
Yōko,person,science_dev
Tsumugi Ōsawa,person,science_dev
Yōko Saitō,person,science_dev
Fumiko Orikasa,person,science_dev
Kazue Nakamoto,person,science_dev
Seiko Yoshida,person,science_dev
Mamiko Noto,person,science_dev
Sanzō,person,science_dev
Fumihiko Tachiki,person,science_dev
Kōji Ishii,person,science_dev
Masaaki Tsukada,person,science_dev
Naomi Otome,person,science_dev
Billy the Kid,person,science_dev
John Chisum,person,science_dev
Lawrence Murphy,person,science_dev
Maxwell,person,science_dev
Hamilton,person,science_dev
Ray Kurzweil,person,science_dev
Gwen Cooper,person,science_dev
Eve Myles,person,science_dev
Ianto Jones,person,science_dev
Gareth David-Lloyd,person,science_dev
Luke Smith,person,science_dev
Tommy Knight,person,science_dev
Mr Smith,person,science_dev
Alexander Armstrong,person,science_dev
Myles,person,science_dev
Titan Cronus,person,science_dev
Knowles,person,science_dev
Jack Splash,person,science_dev
Shea Taylor,person,science_dev
Mr. Familiar,person,science_dev
Lamont Dozier,person,science_dev
Pharrell Williams,person,science_dev
Bilal,person,science_dev
Q-Tip,person,science_dev
Lil Wayne,person,science_dev
Pierre Elliott Trudeau,person,science_dev
Tracy Bond,person,science_dev
Diana Rigg,person,science_dev
Ilse Steppat,person,science_dev
drive-by shooting,person,science_dev
Peterlin,person,science_dev
Bennett,person,science_dev
Dolan,person,science_dev
John Tunstall,person,science_dev
McSween,person,science_dev
Michele Besso,person,science_dev
Stephen Samuel Wise,person,science_dev
Oliver Coleman,person,science_dev
Walter Dyett,person,science_dev
Adjoa Andoh,person,science_dev
Penelope Wilton,person,science_dev
Martha,person,science_dev
Francine Jones,person,science_dev
Harriet Jones,person,science_dev
Charpentier,person,science_dev
Hughes,person,science_dev
George Hearn,person,science_dev
Angela Lansbury,person,science_dev
Kobe,person,science_dev
David Tennant,person,science_dev
Donna Noble,person,science_dev
Catherine Tate,person,science_dev
Jack Harkness,person,science_dev
John Barrowman,person,science_dev
Martha Jones,person,science_dev
Freema Agyeman,person,science_dev
Sarah Jane Smith,person,science_dev
Elisabeth Sladen,person,science_dev
Rose Tyler,person,science_dev
Billie Piper,person,science_dev
Richard E. Grant,person,science_dev
Joanna Lumley,person,science_dev
Jeremy,person,science_dev
Claudia Black,person,science_dev
Aeryn Sun,person,science_dev
Virginia Hey,person,science_dev
Pa 'u Zotoh Zhaan,person,science_dev
Terry Nation,person,science_dev
Dennis Spooner,person,science_dev
Douglas Camfield,person,science_dev
John Wiles,person,science_dev
Kuyper,person,science_dev
Gellar,person,science_dev
Kevin O 'Connell,person,science_dev
Greg P. Russell,person,science_dev
Lee Orloff,person,science_dev
Shakespearean,person,science_dev
